Council,Region,Year,PropertyType,NumSales,MedianPrice,MeanPrice,YoY_Median_Growth_Pct,Median_Index_2004base,IsAggregate,IsPreliminary
Alpine Shire,Regional Victoria,2004,House,215,175000,193221,,100,FALSE,FALSE
Alpine Shire,Regional Victoria,2005,House,232,212500,234846,21.43,121.4,FALSE,FALSE
Alpine Shire,Regional Victoria,2006,House,222,240000,261349,12.94,137.1,FALSE,FALSE
Alpine Shire,Regional Victoria,2007,House,240,250000,284654,4.17,142.9,FALSE,FALSE
Alpine Shire,Regional Victoria,2008,House,135,235000,257562,-6,134.3,FALSE,FALSE
Alpine Shire,Regional Victoria,2009,House,166,240000,260268,2.13,137.1,FALSE,FALSE
Alpine Shire,Regional Victoria,2010,House,90,243500,279688,1.46,139.1,FALSE,FALSE
Alpine Shire,Regional Victoria,2011,House,144,263500,282726,8.21,150.6,FALSE,FALSE
Alpine Shire,Regional Victoria,2012,House,162,260000,283762,-1.33,148.6,FALSE,FALSE
Alpine Shire,Regional Victoria,2013,House,171,272500,293760,4.81,155.7,FALSE,FALSE
Alpine Shire,Regional Victoria,2014,House,185,270000,294889,-0.92,154.3,FALSE,FALSE
Alpine Shire,Regional Victoria,2015,House,208,307000,315481,13.7,175.4,FALSE,FALSE
Alpine Shire,Regional Victoria,2016,House,233,325000,351412,5.86,185.7,FALSE,FALSE
Alpine Shire,Regional Victoria,2017,House,247,350000,374240,7.69,200,FALSE,FALSE
Alpine Shire,Regional Victoria,2018,House,218,372000,408328,6.29,212.6,FALSE,FALSE
Alpine Shire,Regional Victoria,2019,House,214,443750,458745,19.29,253.6,FALSE,FALSE
Alpine Shire,Regional Victoria,2020,House,242,482500,527112,8.73,275.7,FALSE,FALSE
Alpine Shire,Regional Victoria,2021,House,250,645500,705464,33.78,368.9,FALSE,FALSE
Alpine Shire,Regional Victoria,2022,House,185,768000,852054,18.98,438.9,FALSE,FALSE
Alpine Shire,Regional Victoria,2023,House,131,680000,791992,-11.46,388.6,FALSE,FALSE
Alpine Shire,Regional Victoria,2024,House,168,722500,775842,6.25,412.9,FALSE,FALSE
Alpine Shire,Regional Victoria,2025,House,18,722500,811083,0,412.9,FALSE,TRUE
